RI COLOR MAPPER
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
0	0	0
9	0	0
0	0	0
11	0	0
0	0	0
13	0	0
14	0	0
0	0	0
0	0	0
17	0	0
18	0	0
19	0	0
0	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
28	0	0
31	0	0
32	0	0
36	0	0
34	0	0
35	0	0
36	2	0
39	0	0
38	0	0
39	0	0
40	0	0
41	0	0
39	0	0
43	0	0
44	0	0
45	0	0
224	170	130
225	171	131
229	172	132
227	173	133
228	173	132
229	172	132
225	173	130
229	175	134
229	174	133
231	173	133
227	173	131
229	174	132
229	173	131
227	173	131
229	172	131
230	175	130
230	171	131
230	175	131
228	175	131
229	171	131
229	172	130
229	172	132
229	175	133
224	175	131
229	138	105
227	175	136
226	175	133
225	172	138
225	170	137
226	175	136
223	170	130
232	172	138
230	172	133
224	170	130
226	174	130
218	175	136
220	171	136
220	172	133
220	172	139
223	172	137
221	170	130
222	172	130
217	170	129
223	175	138
235	172	138
220	176	136
226	172	133
223	178	133
226	137	102
226	133	107
220	137	103
223	136	102
226	137	107
215	133	102
145	211	50
217	138	104
220	137	104
211	130	102
217	136	104
223	137	104
222	136	102
215	141	104
217	138	110
216	136	102
217	138	99
217	136	102
218	138	102
219	132	103
220	138	102
222	138	102
224	138	104
225	138	104
228	141	102
226	136	107
215	138	107
229	138	107
219	136	107
230	138	102
220	138	107
226	138	102
232	141	110
223	136	102
226	138	107
238	154	113
238	152	102
241	152	113
241	154	113
239	153	113
238	150	113
238	152	114
238	152	114
238	154	116
240	152	113
240	152	103
240	151	110
241	155	116
240	155	116
240	152	116
238	158	116
244	155	116
240	150	118
246	152	116
243	140	102
243	144	73
245	129	102
246	128	96
240	126	96
246	138	90
245	124	81
248	138	84
245	136	93
246	136	89
248	127	96
240	124	70
246	118	70
240	116	34
246	107	70
246	104	50
255	82	5
247	90	28
255	79	42
248	70	16
255	68	11
255	58	14
251	68	14
246	59	14
245	62	14
246	59	16
255	50	11
253	45	11
250	45	5
251	42	5
250	42	5
250	43	4
250	42	4
250	41	4
250	41	5
250	40	4
250	38	3
251	39	3
252	40	3
255	36	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	2	0
210	198	184
211	192	188
212	199	189
213	201	188
214	207	188
215	209	190
216	207	190
217	217	191
218	210	198
219	214	194
220	213	201
221	217	192
222	214	201
223	223	192
224	215	201
225	217	200
226	226	204
227	220	207
228	226	204
229	229	220
235	229	204
231	232	236
255	242	229
255	245	229
255	234	234
255	234	234
255	236	236
255	206	192
255	232	232
255	232	232
255	215	211
164	210	217
165	210	217
166	210	217
167	210	217
168	210	217
169	210	217
170	210	217
171	210	217
172	210	217
173	210	217
174	210	217
175	210	217
176	210	210
177	210	217
178	210	217
